Waveform Data,,Waveform Data,
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.64,-1.80E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,8
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.79E-06,0.72,-1.79E-06,4
-1.78E-06,0.72,-1.78E-06,4
-1.78E-06,0.72,-1.78E-06,4
-1.78E-06,0.72,-1.78E-06,4
-1.78E-06,0.72,-1.78E-06,4
